Twitter ID,氏名,プロフィール
GRGSIBERIA,竹渕 瑛一,神奈工のD1．2013年度未踏採択．MMD for Unityの中の人．何でも屋さん．C#/Ruby/AWS/Unity/Maya/Python/WoT/マイクラ/テラリア/楽器演奏/一眼レフ
IPA_MITOH,IPA未踏,
MasatakaGoto,後藤 真孝,"後藤 真孝．産業技術総合研究所（産総研）首席研究員．未踏PM．情報処理学会理事．OngaCREST研究代表者．音楽情報処理(http://t.co/Sm7O8KhlAB , http://t.co/1wgdUc2g3u 等)・歌声情報処理（ぼかりす等）・音声言語情報処理・音インタフェース・Webインタラクション．"
Nikoriks,紀 信邦,"桐生,京都大学RIMS,数学基礎論,上野毛,二子玉川,三菱総研,OS,言語処理系,創業アイザック,UNIX,Prolog,論理プログラミング,S(R),Linux,Java,,ビジネスモデルデザイン,技術顧問,起業支援,ベンチャー育成,未踏,ESPer,JSSST,吉祥寺"
Reputeless,鈴木 遼,"プログラミングを楽しく簡単にする研究をしています / Siv3D 開発者 / 未踏 2013 スーパークリエータ, CEDEC 2014 / C++, TypeScript / 早稲田表現工学 修士 2 年 / HAMSTRO"
RyujiHori0308,堀 竜慈,哲学/筑波大学大学院システム情報工学科CS専攻M2/IPLAB(田中研究室)WAVEチーム/未踏ユース2010クリエータ/ヒューマンインタフェース/筑波大学COJTソフトコース/RICOH＆java Deverloper Challenge2009出場/アカペラサークルDoo-Wop/写真/音ゲ/好奇心の塊です^q^
TFukusato,福里 司,早稲田大学院博士課程2年/研究：CG&CV/DC2/未踏2014/西田賞/Adobe/成蹊高校/デッサン/バイオリン歴:21年
TKazuki,田中 和紀,"ソーシャルな会社で課金と解析業務をしてるプログラマー社会人。大学院では自然言語処理、音声認識、情報デザインなどを学んでいました。2009年未踏ユース上期「思いが伝わる情報デザインツール」を開発。
一生プログラマ見習い。初心を忘れるな by 師匠"
TatsunoriHirai,平井 辰典,平井辰典。早稲田大学 先進理工学研究科 博士後期課程3年 森島研究室。音楽情報処理・動画像処理。音楽動画の観賞、制作支援に関する研究。第1回ニコニコ学会β。2012年度未踏スーパークリエータ。学振DC1。情報処理学会音楽情報科学研究会（SIGMUS）、ACM各会員。
_ko1,笹田 耕一,The husband of @yotii23.
