髙橋 賢治？,gpgpu_tsukai,"IPA未踏ユーススーパークリエーター。 現在は某社に誘われ開発に従事。 謎の車を手に入れ大変な目に遭うことに。"
伊藤 剛浩？,cpu_labs,"University of Tsukuba COINS 09 AC/Open Design Computer Project/2011年IPA未踏スーパークリエータ/自作CPU(MIST32)/COJT-HW2013/Verilog/VHDL/SVA/電子工作/FPGA/ Altera/AC-ROOM"
溝口 弘悟？溝口 博？,mizo_hiro,"
BELONG:東京大学工学部/JSK/Beachboys/JHP 学校をつくる会/未踏OB/AnteRoom/
MAJOR:Lisp/Python/C++/Java/Ubuntu/Android/Emacs/Humanoid
/Robot System & Design/Cafe/Camera/gadget/"
,muracos,"ムウラ★1985年生まれ ★2009年 IPA 未踏ユース下/スパクリ ★主にニコニコ学会βで活動中★本職はSE"
,bunmei0627,"ぶんめい(次戦長野マラソン)
富士市、日本橋人形町でアナログとデジタルの良さを生かした「考える道具」開発をしている会社やってます。 沼津高専/静岡大学/博士(工学)/H13未踏スーパークリエータ/開発方法論/IT活用法/思考法/ノート術/勉強法/文房具大好き/アウトドア/手作り/工夫"
,ganatcs,"計算機科学な社会人. hatenaid:ganatcs. icpc:0x3f. topcoder:ganatcs. itsp2009. 未踏ユース2010 . 雑音でいたい"
,shiratamya,"しらたま(Yucco)IPA未踏'11/RICOH&Java DC'11/seccamp'13 NW/C/processing/Phits/knct 5th/こみゅ障"
,unia529,"うにあ 趣味はマジック、海外ドラマ、お酒とか・・・。Hocus-Pocus/マジック/じゅにあ/Android/GAEforJava/AR/海外ドラマ/12未踏/TechCAMP/ぷー/CA14"
,yopita_,"よぴた 猫のように目の前のねずみを追いかけ始める。ものづくりが好きです。やわらかいひとになりたい。 IPLAB / WAVE TEAM / 筑波大 / 未踏2011 / 元明大宮下研"
,mituoh,ものを作るために見習いして暮らしてます。未踏2014。
,_u_ya_,U-ya プログラミングしてますサービス開発マンです／ 2014年未踏くりえーた／BUMP OF CHICKEN好きであります／
,setsulla,"セツラ・ホライズン2 電機メーカー社会人4年目SET.社畜脱出などなかった. 興味：ソフトウェア工学/静的解析/ソフトウェアテスト/TDD 未踏ユース2008年下期, ITSpiral2009年度, IBC 14th なお，このアカウントの発言は全てフィクションであり，発言内に登場する団体・人物などの名称は全て架空のものです．"
,gult_android,"GULT 趣味はプログラミング、人に何かを教える事/2014ねん未踏くりええた/さいきんJavaScript好き"
,kaorabe,"かおらべ 旧名はpinkmac。神戸ではたらくIT屋。男子2人（4歳/2歳直前）の母でもあります。研究者志望（HCI）→未踏06下期→メーカー社内SE（標準化／セキュリティ関連）→絶賛人生模索中。"
